Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
644,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,19000,20000,20000,2024-09-25
645,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,19000,20000,20000,2024-09-26
646,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,19000,20000,20000,2024-09-27
647,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,19000,20000,20000,2024-11-28
648,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,19000,20000,20000,2025-04-29
649,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,19000,20000,20000,2024-09-29
650,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,19000,20000,20000,2025-04-30
651,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,19000,20000,20000,2024-09-30
652,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-07
653,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-08
654,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-09
655,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-11
656,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-12
657,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-13
658,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-14
659,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-15
660,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-16
661,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-17
662,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-19
663,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-21
664,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-22
665,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-23
666,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-26
667,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-27
668,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-28
669,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-29
670,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,21000,21000,2025-05-30
671,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,22000,22000,2025-10-05
672,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,22000,22000,2025-08-10
673,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,22000,22000,2025-08-15
674,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,22000,22000,2025-08-23
675,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,22000,22000,2025-08-30
676,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,22000,22000,2025-08-31
677,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,23000,23000,2025-07-12
678,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,23000,23000,2025-07-13
679,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,24000,24000,2025-07-02
680,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,24000,24000,2025-08-04
681,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,24000,24000,2025-01-04
682,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,24000,24000,2025-01-05
683,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,24000,24000,2025-01-11
684,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,24000,24000,2025-01-14
685,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,24000,24000,2024-11-14
686,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,24000,24000,2025-07-27
687,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,24000,24000,2024-12-29
688,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,20000,25000,25000,2024-12-28
689,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-10-01
690,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-10-02
691,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-12-03
692,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-10-03
693,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-12-04
694,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-05
695,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-12-05
696,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-06
697,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-12-06
698,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-08-07
699,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-07
700,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-11
701,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-12
702,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-13
703,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-12-14
704,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-12-15
705,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-16
706,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-12-16
707,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-12-17
708,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-09-18
709,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-09-19
710,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-20
711,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-01-20
712,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-06-20
713,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-21
714,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-06-21
715,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-22
716,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-06-22
717,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-11-22
718,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-06-23
719,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-04-24
720,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-06-24
721,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-04-25
722,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2024-11-25
723,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-04-26
724,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-26
725,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-04-27
726,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-27
727,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-04-28
728,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-08-28
729,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-06-29
730,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,22000,22000,2025-06-30
731,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,24000,24000,2025-06-01
732,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,26000,26000,2024-11-01
733,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,26000,26000,2024-11-10
734,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,21000,26000,26000,2024-10-31
735,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-05-04
736,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-05-05
737,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-05-06
738,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-07-07
739,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-07-08
740,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-07-09
741,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-07-10
742,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-07-11
743,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-07-15
744,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-07-16
745,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-07-17
746,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-05-18
747,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,23000,23000,2025-05-20
748,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,24000,24000,2025-08-03
749,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,24000,24000,2025-06-07
750,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,24000,24000,2025-09-07
751,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,24000,24000,2025-06-08
752,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,24000,24000,2025-07-19
753,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,22000,24000,24000,2025-05-31
754,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-08-01
755,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-01
756,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-01
757,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-08-02
758,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-02
759,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-02
760,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-02
761,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-03
762,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-03
763,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-03
764,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-04
765,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-04
766,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-04
767,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-08-05
768,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-05
769,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-06
770,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-06
771,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-06
772,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-07
773,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-07
774,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-08
775,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-08
776,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-09
777,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-09
778,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-10
779,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-11
780,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-12
781,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-12
782,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-12
783,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-12
784,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-13
785,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-13
786,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-13
787,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-13
788,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-14
789,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-14
790,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-15
791,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-15
792,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-15
793,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-16
794,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-16
795,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-16
796,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-16
797,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-08-17
798,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-01-17
799,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-17
800,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-08-18
801,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-18
802,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-18
803,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-18
804,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-18
805,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-08-19
806,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-19
807,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-19
808,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-19
809,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-20
810,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-20
811,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-21
812,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-21
813,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-22
814,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-22
815,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-12-23
816,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-23
817,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-23
818,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-12-24
819,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-24
820,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-12-25
821,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-12-26
822,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-26
823,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-26
824,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-26
825,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-12-27
826,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-11-27
827,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-27
828,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-28
829,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-06-28
830,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-10-28
831,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-29
832,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-12-30
833,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-30
834,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2024-12-31
835,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,23000,24000,24000,2025-07-31
836,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,24000,25000,25000,2024-08-02
837,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,24000,25000,25000,2025-05-02
838,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,24000,25000,25000,2025-05-03
839,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,24000,25000,25000,2024-11-03
840,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,24000,25000,25000,2025-06-05
841,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,24000,25000,25000,2024-08-06
842,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,24000,25000,25000,2024-11-17
843,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,24000,25000,25000,2024-07-24
844,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,24000,25000,25000,2024-10-24
845,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,24000,25000,25000,2024-10-25
846,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,25000,26000,26000,2024-08-03
847,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,25000,26000,26000,2024-11-09
848,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,25000,26000,26000,2024-11-11
849,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,25000,26000,26000,2024-10-29
850,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,25000,26000,26000,2024-10-30
851,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,29000,30000,30000,2024-08-04
852,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,29000,30000,30000,2024-07-16
853,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,29000,30000,30000,2024-07-17
854,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,29000,30000,30000,2024-07-27
855,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,30000,32000,32000,2024-07-20
856,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-08-01
857,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-07-18
858,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-07-19
859,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-07-21
860,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-07-22
861,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-07-23
862,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-07-25
863,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-07-26
864,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-07-28
865,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-07-29
866,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-07-30
867,Virudhunagar,Rajapalayam(Uzhavar Sandhai ),Lime,Lime,Local,31000,32000,32000,2024-07-31
868,Virudhunagar,Sivakasi(Uzhavar Sandhai ),Lime,Lime,Local,6500,7000,7000,2025-08-12
869,Virudhunagar,Sivakasi(Uzhavar Sandhai ),Lime,Lime,Local,6500,7000,7000,2025-07-28
870,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,5000,6000,6000,2025-06-03
871,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,5500,6000,6000,2025-03-19
872,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,8000,10000,10000,2025-05-03
873,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,8000,10000,10000,2025-05-04
874,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,8000,10000,10000,2025-05-06
875,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2025-02-16
876,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2024-08-21
877,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,10000,12000,12000,2024-09-28
878,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2024-09-08
879,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2025-02-18
880,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2025-02-20
881,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2024-09-26
882,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ),Lime,Lime,Local,11000,12000,12000,2024-09-27
